,S.No.,Name,CMP Rs.,Prom. Hold. %,Debt Rs.Cr.,NP Qtr Rs.Cr.,6mth return %,1Yr return %,3Yrs return %,All time high Rs.,All time low Rs.,P/E,EPS 12M Rs.,Vol 1d,IV Rs.,PB X PE,CMP / BV,Mar Cap Rs.Cr.,Sector
911,165.0,Cadsys (India),88.3,47.78,90.96,-12.45,-36.88,-80.63,34.0,511.0,15.5,-31.762589928057555,-2.78,500,88.3,-44.46762589928058,1.4,88.32,IT-Software
914,168.0,SGL Resources,3.27,7.02,38.22,0.61,-51.84,-51.34,-25.16,33.38,0.82,30.33,0.09,114271,1.92,18.2,0.6,81.9,IT-Software
917,171.0,Sylph Techno,0.9,0.0,7.48,-1.54,7.14,-62.03,-24.72,78.45,0.16,-18.0,-0.05,214137,0.9,-16.560000000000002,0.92,76.29,IT-Software
918,172.0,Reliable Data,73.64,71.77,38.25,4.12,-14.48,37.96,9.89,113.05,19.83,9.14,7.99,15091,90.5,13.44,1.47,76.02,IT-Software
920,174.0,Aeonx Digital,152.75,54.76,0.67,0.83,-1.2,76.79,22.35,323.3,4.06,18.59,11.87,1678,100.83,26.58,1.43,70.27,IT-Software
921,175.0,Riddhi Corporate,58.99,68.28,105.39,8.06,-1.58,-39.37,-23.16,587.0,30.06,5.83,10.12,2212,176.35,6.88,1.18,70.0,IT-Software
922,176.0,HOV Services,54.4,50.42,1.72,1.32,-16.57,-9.88,-1.99,397.0,20.0,18.57,2.95,20656,22.41,54.41,2.93,68.88,IT-Software
923,177.0,Adroit Info.,11.67,37.37,14.9,0.54,-46.91,-44.5,14.49,63.75,0.51,19.0,0.94,79916,15.97,10.45,0.55,62.9,IT-Software
924,178.0,HCKK Ventures,164.3,60.33,0.05,0.05,54.13,50.6,96.06,164.7,9.57,290.29,0.57,3865,25.61,4116.31,14.18,60.96,IT-Software
926,180.0,Globalspace Tech,17.02,55.84,9.56,0.62,-3.51,-11.4,-9.14,64.54,13.78,90.0,-1.74,20291,-156.6,98.1,1.09,58.5,IT-Software
927,181.0,Aris Interna.,384.0,74.94,0.01,0.0,477.1,567.83,168.0,384.0,12.07,1920.0,0.2,100,7.12,201081.6,104.73,57.6,IT-Software
928,182.0,PCS Technology,27.37,70.16,3.92,0.34,-6.43,1.75,13.74,59.4,1.94,48.6,0.6,4919,10.1,62.21,1.28,57.34,IT-Software
932,186.0,Ram Info,73.9,33.98,10.65,0.22,-24.13,-51.76,-12.98,183.0,2.21,36.91,2.0,5222,61.57,32.85,0.89,55.73,IT-Software
933,187.0,ERP Soft Systems,135.85,55.76,1.87,0.04,28.83,11.35,0.12,272.8,15.0,448.33,0.3,1,13.8,1367.41,3.05,53.8,IT-Software
934,188.0,Lee & Nee Soft.,9.41,69.54,0.08,0.19,-32.06,-8.37,-8.04,30.95,0.74,437.32,0.02,21431,2.03,406.71,0.93,52.48,IT-Software
935,189.0,Anka India,33.63,55.0,1.08,0.01,143.52,154.0,24.33,44.59,0.0,178.45,0.25,2012,4.37,635.28,3.56,51.75,IT-Software
936,190.0,Saven Tech.,47.45,42.47,0.0,0.47,-15.9,-15.46,7.31,77.0,2.2,19.93,2.38,914,38.0,51.22,2.57,51.62,IT-Software
937,191.0,USG Tech,12.76,18.29,16.69,-0.28,-31.66,19.36,20.24,28.0,1.55,-79.75,-0.16,488820,12.76,-106.06750000000001,1.33,50.29,IT-Software
938,192.0,Hiliks Technolog,50.22,5.87,0.0,0.03,-26.79,10.42,82.22,122.7,3.62,96.29,0.52,4299,9.84,208.95,2.17,44.29,IT-Software
939,193.0,Netlink Solns(I),172.0,54.66,0.0,-0.76,-22.94,6.17,48.52,243.95,2.4,3.68,46.69,5904,294.24,4.86,1.32,43.5,IT-Software
941,195.0,We Win Ltd,41.5,70.9,8.49,-0.29,-37.44,-42.18,-3.29,114.7,10.67,28.47,1.48,4432,41.1,44.13,1.55,42.71,IT-Software
943,197.0,Megri Soft,131.0,74.99,0.0,0.12,-4.38,2.87,2.82,299.85,12.0,64.29,2.04,214,44.12,121.51,1.89,41.15,IT-Software
944,198.0,Titan Intech,13.44,16.6,3.83,2.12,-67.88,-78.73,-12.13,75.0,1.79,7.65,2.2,246063,99.36,4.21,0.55,40.94,IT-Software
946,200.0,Lex Nimble Solu.,92.36,74.6,0.0,0.59,15.45,20.73,33.98,92.36,25.0,37.57,2.51,2000,27.64,90.92,2.42,38.7,IT-Software
947,201.0,Accedere,75.83,81.46,0.16,0.03,-16.67,-3.51,38.65,103.96,1.63,381.25,0.1,2346,7.78,3503.69,9.19,38.12,IT-Software
948,202.0,B2B Soft.Tech.,31.25,59.83,0.0,0.65,-14.66,-6.21,-1.75,57.75,2.96,13.83,2.26,12747,31.34,23.37,1.69,36.22,IT-Software
951,205.0,Infronics Sys.,43.95,53.55,0.04,0.08,0.96,-24.16,29.05,92.8,5.24,22.77,1.93,5191,23.6,277.34,12.18,34.84,IT-Software
953,207.0,Response Info.,39.0,51.56,1.77,0.4,-33.88,-46.95,37.54,94.43,3.7,60.27,0.57,1215,65.28,125.96,2.09,31.94,IT-Software
954,208.0,Mudunuru,9.08,51.5,3.28,-0.29,16.86,-33.63,6.39,51.8,3.07,-10.93975903614458,-0.83,2,9.08,-289.6848192771085,26.48,28.33,IT-Software
955,209.0,Ace Integrated,27.65,73.53,0.42,-0.21,-7.37,-17.95,-1.58,82.3,8.27,49.48,0.56,51274,22.28,73.23,1.48,28.2,IT-Software
956,210.0,Informed Techn.,61.3,74.99,0.19,-1.06,-44.7,-31.81,6.5,140.0,5.43,13.18,4.65,90,43.87,15.68,1.19,25.57,IT-Software
961,215.0,Platinumone Bus.,130.0,73.31,0.32,1.41,-25.71,-33.67,-2.29,320.5,0.0,13.99,9.29,600,192.2,17.63,1.26,20.57,IT-Software
962,216.0,COSYN,27.16,54.46,0.01,0.04,-38.73,-31.9,11.68,252.0,8.55,22.38,1.21,4069,19.59,15.44,0.69,20.37,IT-Software
963,217.0,Quadpro ITeS,3.65,67.5,0.0,0.4,-31.78,-34.82,-10.55,9.98,2.95,17.24,0.21,36000,3.56,16.21,0.94,18.45,IT-Software
964,218.0,United Interacti,96.8,69.83,0.0,0.26,-10.37,13.71,46.08,507.0,10.44,21.87,4.31,211,300.93,10.06,0.46,17.71,IT-Software
968,222.0,California Soft.,10.92,62.26,9.24,0.2,3.78,23.48,-8.66,71.07,1.93,27.94,0.1,46243,2.97,151.43,5.42,16.76,IT-Software
970,224.0,Cont. Chemicals,73.21,61.57,0.03,0.1,-10.39,-8.27,-13.98,417.15,0.0,45.74,1.6,119,16.43,158.72,3.47,16.47,IT-Software
971,225.0,Ace Engitech,190.0,27.84,0.0,-0.29,7.37,769.57,154.69,301.2,1.42,-38.15261044176707,-4.98,64,190.0,-1447.8915662650602,37.95,16.32,IT-Software
974,228.0,Jonjua Overseas,8.95,44.1,3.62,0.87,-20.44,-5.29,-3.01,54.66,3.86,9.85,0.91,44902,18.25,12.9,1.31,14.19,IT-Software
976,230.0,Vivo Collaborat.,65.1,73.4,0.0,0.69,-9.71,-24.87,-25.27,372.85,62.0,-39.69512195121951,-1.64,6400,65.1,-36.519512195121955,0.92,13.12,IT-Software
979,233.0,Triton Corp.,0.57,67.62,1.67,-0.1,11.76,14.0,16.55,25.0,0.17,-19.0,-0.03,21275,0.57,-7216.01,379.79,11.39,IT-Software
981,235.0,PFL Infotech,13.38,6.5,0.07,-0.01,250.26,183.47,22.21,825.0,2.28,-1.7286821705426356,-7.74,3547,13.38,-54.05589147286822,31.27,10.01,IT-Software
982,236.0,Omega Interactiv,196.9,0.0,9.48,0.32,-22.48,-41.93,80.38,393.0,0.73,9.85,20.0,92,263.03,4.53,0.46,9.85,IT-Software
984,238.0,Senthil Infotek,18.97,73.75,0.0,-0.05,-29.0,14.97,15.69,30.2,0.0,-4.495260663507109,-4.22,35,18.97,-16.272843601895733,3.62,9.58,IT-Software
985,239.0,Objectone Inform,9.0,20.58,1.47,0.27,-22.08,-45.02,2.49,54.0,0.55,-5.421686746987952,-1.66,1652,9.0,-3.253012048192771,0.6,9.46,IT-Software
986,240.0,UTL Industries,2.8,0.01,0.07,-0.04,-13.58,12.0,-14.94,53.8,1.5,-140.0,-0.02,46819,2.8000000000000003,-309.4,2.21,9.23,IT-Software
987,241.0,Hypersoft Tech.,20.31,47.85,0.0,-0.77,21.4,66.61,25.68,20.31,4.18,-6.386792452830188,-3.18,0,20.31,-25.291698113207545,3.96,8.64,IT-Software
988,242.0,Ekennis Software,56.0,71.43,3.68,-0.95,-31.71,-53.33,-16.01,208.95,49.7,-6.6429418742586,-8.43,0,56.0,-12.820877817319097,1.93,7.84,IT-Software
989,243.0,I Power Solution,17.5,61.68,0.4,-0.09,21.44,54.73,47.89,26.5,1.05,-37.23404255319149,-0.47,5060,17.5,-72.60638297872342,1.95,7.79,IT-Software
990,244.0,Ajel,6.63,50.05,10.7,0.0,-51.54,-55.2,-11.3,67.0,1.62,-5.765217391304348,-1.15,4844,6.63,-3.5744347826086957,0.62,7.72,IT-Software
991,245.0,First Fintec,7.2,47.4,0.28,0.26,-17.71,-12.73,11.96,71.8,1.48,83.22,0.09,1233,2.69,57.42,0.69,7.49,IT-Software
992,246.0,Capricorn System,17.04,24.91,0.0,-0.05,-1.84,75.67,23.03,240.0,4.95,-7.641255605381166,-2.23,0,17.04,-18.3390134529148,2.4,6.81,IT-Software
994,248.0,Tranway21 Tech.,5.75,59.99,5.77,-0.21,-4.01,-13.01,-16.84,25.05,3.26,-28.75,-0.2,10000,5.75,-10.35,0.36,6.09,IT-Software
996,250.0,CLIO Infotech,4.91,0.0,4.62,0.02,-7.88,3.15,-9.8,17.65,0.52,23.5,0.31,922,4.85,12.22,0.52,5.4,IT-Software
997,251.0,N2N Technologies,16.44,50.37,0.45,-0.05,-25.27,-28.61,-16.11,281.5,3.97,-15.222222222222223,-1.08,466,16.44,-14.91777777777778,0.98,5.31,IT-Software
999,253.0,Omni Ax's,3.02,0.0,0.0,0.01,-16.8,-19.47,-8.09,10.05,0.5,-60.4,-0.05,3348,3.02,-27.18,0.45,5.2,IT-Software
1000,254.0,Bharatiya Glob.,3.06,41.84,4.09,-0.18,-9.47,-5.85,-5.27,84.0,0.93,-2.833333333333333,-1.08,37431,3.06,-0.16999999999999998,0.06,4.85,IT-Software
1001,255.0,Mahaveer Infoway,8.22,47.08,1.2,0.13,-6.91,-11.33,10.15,14.01,0.91,-8.22,-1.0,2577,8.22,-9.042000000000002,1.1,4.52,IT-Software
1005,259.0,G-Tech Info.,4.97,0.0,0.0,-0.01,170.11,212.58,58.85,11.48,0.02,174.0,0.03,2242,0.28,2523.0,14.5,1.74,IT-Software
